Parcours (ID);Parcours (libellé court);Ligne (ID);Ligne (nom court);Point d'arrêt (ID);Point d'arrêt (nom);Ordre;Montée autorisée;Descente autorisée
0006-B-2277-2089;;0006;C6;1170;Paul Bert;22;true;true
0007-B-2338-2281-2237;;0007;C7;2338;Lavoisier;1;true;true
0077-B-3732-1519;;0077;77;3107;Renan;9;true;true
0006-B-2277-2089;;0006;C6;1173;Pont de Strasbourg;25;true;true
0007-B-2338-2281-2237;;0007;C7;2307;Gavrinis;13;true;true
0077-B-3732-1519;;0077;77;3176;Pacé Cimetière;17;true;true
0006-B-2277-2089;;0006;C6;1604;Les Préales;28;true;true
0007-B-2338-2281-2237;;0007;C7;2311;Coeur de Campus;17;true;true
0077-B-3732-1519;;0077;77;3111;Le Ponant;19;true;true
0006-B-2277-2089;;0006;C6;1610;Tournebride;29;true;true
0007-B-2338-2281-2237;;0007;C7;2240;St-Jacques Mairie;26;true;true
0078-A-2461-1494;;0078;78;2437;Betton Centre;2;true;true
0006-B-2277-2089;;0006;C6;2021;Hublais;32;true;true
0007-B-2361-2281;;0007;C7;2303;Haut Launay;6;true;true
0078-A-2461-1494;;0078;78;2820;Cité des Jardins;12;true;true
0006-B-2277-2089;;0006;C6;2024;Muguet;35;true;true
0007-B-2361-2376;;0007;C7;2343;Epalet;3;true;true
0078-A-2461-1494;;0078;78;2810;Paul-Emile Victor;13;true;true
0006-B-2277-2089;;0006;C6;2025;Maison d'Accueil;36;true;true
0010-A-1175-1390;;0010;10;1175;Beaulieu Chimie;1;true;true
0078-A-2461-1494;;0078;78;2838;Alphasis;14;true;true
0006-B-2277-2089;;0006;C6;2041;Cesson Collège;41;true;true
0010-A-1175-1390;;0010;10;1178;Beaulieu Cité U;4;true;true
0078-A-2461-1494;;0078;78;1493;Préfecture;22;true;true
0007-A-1732-2337;;0007;C7;1732;République;1;true;true
0010-A-1175-1390;;0010;10;1179;Jeanne d'Arc;6;true;true
0078-A-2461-1494;;0078;78;1494;Villejean-Université;23;true;true
0007-A-1732-2337;;0007;C7;2317;Coeur de Campus;8;true;true
0010-A-1175-1390;;0010;10;1398;Voltaire;21;true;true
0078-B-1494-2461;;0078;78;2814;CHP Saint-Grégoire;7;true;true
0007-A-1732-2337;;0007;C7;2323;Rabine;14;true;true
0010-A-1175-1390;;0010;10;1386;Guérinais;25;true;true
0078-B-1494-2461;;0078;78;2851;Edonia;8;true;true
0007-A-1732-2337;;0007;C7;2374;Châteliers;16;true;true
0010-A-1175-1390;;0010;10;1390;Porte de Cleunay;29;true;true
0078-B-1494-2461;;0078;78;2834;Jean-Paul II;15;true;true
0007-A-1732-2337;;0007;C7;2348;Victor Hugo;19;true;true
0010-B-1390-1312;;0010;10;1388;Montand;3;true;true
0078-B-1494-2461;;0078;78;2457;Pont Brand;17;true;true
0007-A-2281-2337;;0007;C7;2241;St-Jacques Mairie;3;true;true
0010-B-1390-1312;;0010;10;1395;Cleunay;6;true;true
0079-A-1534-4708;;0079;79;3901;Bois Esnault;8;true;true
0007-A-2281-2337;;0007;C7;2377;Corbières;10;true;true
0010-B-1390-1312;;0010;10;1383;Dargent;8;true;true
0079-B-4708-1534;;0079;79;4706;Châtaigneraie;2;true;true
0007-A-2281-2337;;0007;C7;2324;Haut Launay;14;true;true
0010-B-1390-1312;;0010;10;1719;Vaneau;11;true;true
0079-B-4708-1534;;0079;79;4702;Orée du Bois;4;true;true
0007-A-2281-2337;;0007;C7;2374;Châteliers;15;true;true
0010-B-1390-1312;;0010;10;1194;Anatole France;14;true;true
0079-B-4708-1534;;0079;79;4700;Point du Jour;5;true;true
0007-A-2281-2337-2243;;0007;C7;2241;St-Jacques Mairie;3;true;true
0074-B-3260-1510;;0074;74;3212;Levant;5;true;true
0010-B-1390-1312;;0010;10;1198;George Sand;19;true;true
0079-B-4708-1534;;0079;79;3907;Fontaine Blanche;12;true;true
0007-A-2281-2337-2243;;0007;C7;2317;Coeur de Campus;12;true;true
0074-B-3260-1510;;0074;74;3213;Plardière;7;true;true
0010-B-1390-1312;;0010;10;1203;Beaulieu - Université;24;true;true
0080-A-1534-2368;;0080;80;1534;Henri Fréville;1;true;true
0007-A-2281-2337-2243;;0007;C7;2305;Vert Buisson;17;true;true
0074-B-3260-1510;;0074;74;3250;Orgerblon;8;true;true
0011-A-1208-3751;;0011;11;1208;Saint-Saëns;1;true;true
0080-A-1534-2368;;0080;80;4722;Château d'Eau;2;true;true
0007-A-2281-2337-2243;;0007;C7;2361;Bruz Centre;24;true;true
0074-B-3801-1510;;0074;74;3838;Salle de Sports;2;true;true
0011-A-1208-3751;;0011;11;1209;Pavie;2;true;true
0080-A-1534-2368;;0080;80;4701;Point du Jour;3;true;true
0007-A-2281-2361;;0007;C7;2241;St-Jacques Mairie;3;true;true
0074-B-3801-1510;;0074;74;3803;La Motte;4;true;true
0011-A-1208-3751;;0011;11;1217;Chèques Postaux;13;true;true
0080-A-1534-2368;;0080;80;4707;Châtaigneraie;6;true;true
0007-A-2281-2361;;0007;C7;2316;Etangs;6;true;true
0074-B-3801-1510;;0074;74;3258;Haye Longue;12;true;true
0011-A-1208-3751;;0011;11;1221;Géniaux;17;true;true
0080-A-1534-4708;;0080;80;4722;Château d'Eau;2;true;true
0007-A-2281-2361;;0007;C7;2324;Haut Launay;14;true;true
0074-B-3801-1510;;0074;74;4356;Croix du Pigeonnet;15;true;true
0011-A-1208-3751;;0011;11;1226;Servigné;22;true;true
0080-B-2368-1534;;0080;80;2368;DGA-MI;1;true;true
0007-A-2281-2361;;0007;C7;2374;Châteliers;15;true;true
0074-B-3811-1510;;0074;74;3201;Fort Joual;3;true;true
0011-A-1746-1222;;0011;11;1251;Veyettes;8;true;true
0081-A-1497-6000;;0081;81;4458;Croix Simon;6;true;true
0007-A-2281-2361;;0007;C7;2361;Bruz Centre;19;true;true
